"","SOV","SOV_upCI","SOV_loCI","SOR","SOR_upCI","SOR_loCI","Centroid_dist","upCI_cdist","loCI_cdist","Pairwise_dist","upCI_mID","loCI_mID","CH_Area_intervals","upCI_CHA_intervals","loCI_CHA_intervals","Position","upCI","loCI"
"Interval 1",0.00768221300985888,0.0134358923710417,0.000861034525168485,0.647442288189823,0.647442288189823,0.224933774788345,0.0670770624191638,0.0996191784196963,0.0277524743213893,0.104695616828397,0.137531804400213,0.0348181854407588,0.00322372053431387,0.00322372053431387,1.37930133425373e-05,0.670240778366902,0.70576932533094,0.619226687893478
"Interval 2",0.0904565254170094,0.131630197481695,0.0387243639760974,1.83991646493989,1.82260938924629,1.22307230266344,0.251787066940255,0.314698924641414,0.157255866059065,0.364617597941177,0.419624087156772,0.228068903968014,0.0668779491346732,0.0652488615749855,0.0206489944055902,0.53996102618295,0.67364949119775,0.425773552209724
"Interval 3",0.0749952177128586,0.0878373297395161,0.0623973032709381,2.5676785197491,2.56036708747451,2.23848088858384,0.238801954109057,0.260207728329234,0.215578736787054,0.332972553296255,0.359269963060911,0.302830108394728,0.408359026527546,0.408359026527546,0.351742685812698,0.0657780181275199,0.0945530611291917,0.0423504389639457
"Interval 4",0.116697531822286,0.128350656700306,0.10296296498299,3.34873789332086,3.34726580693751,2.75695785989007,0.310619778491737,0.330022387555319,0.288262021886526,0.416697837691905,0.439040624198082,0.389083766050364,0.634971831753539,0.634971831753539,0.420057755217046,0.0644501263694141,0.0990564577345097,0.0435724473295063
"Interval 5",0.0939944107398682,0.106396320865953,0.0803095622143363,2.83930944870728,2.83518476699242,2.6017668868161,0.268230702319346,0.289675565216681,0.247623496262949,0.363474817618287,0.388495663939111,0.338464411040471,0.404229978164711,0.404229978164711,0.344097517738092,0.118664865339432,0.14907116587019,0.0898126474926861
"Interval 6",0.0993550898130642,0.112754486538209,0.0834045989498781,2.34440760590714,2.34440760590714,2.22815062417846,0.292629961909353,0.314855411136017,0.26322815406966,0.394007470333183,0.418738608591514,0.357315796550352,0.474569028537357,0.474569028537357,0.412075579492288,0.154041873435977,0.195280643739681,0.113397379168222
"Interval 7",0.0767921449704266,0.0825838370932269,0.0706912317715667,2.70322855703996,2.69337157683217,2.53194264233342,0.252924477354082,0.264830259778327,0.241701504534249,0.345787299642374,0.359357211268687,0.331069677247386,0.528223868530513,0.527406110554518,0.473728868672309,0.0376879475176225,0.0542539929414905,0.0261242911297071
