Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;Aperture.Image;wh
Bockwinkel et al 2009;Synpharciceras clavilobum;;MB.C.19118.3.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;Synpharciceras clavilobum - MB.C.19118.3.whorl4 - wh(12.8 mm) - Bockwinkel 2009;12,8
Bockwinkel et al 2009;Synpharciceras clavilobum;;MB.C.19118.3.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;Synpharciceras clavilobum - MB.C.19118.3.whorl5 - wh(8.7 mm) - Bockwinkel 2009;8,7
Bockwinkel et al 2009;Synpharciceras clavilobum;;MB.C.19118.3.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;Synpharciceras clavilobum - MB.C.19118.3.whorl6 - wh(6.1 mm) - Bockwinkel 2009;6,1
Bockwinkel et al 2009;Synpharciceras clavilobum;;MB.C.19118.3.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;Synpharciceras clavilobum - MB.C.19118.3.whorl7 - wh(4.0 mm) - Bockwinkel 2009;4
Bockwinkel et al 2009;Synpharciceras clavilobum;;MB.C.19118.3.whorl8;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;Synpharciceras clavilobum - MB.C.19118.3.whorl8 - wh(3.0 mm) - Bockwinkel 2009;3
Bockwinkel et al 2013;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;Lunupharciceras lunulicosta - MB.C.22120.1.whorl1 - wh(6.8 mm) - Bockwinkel 2013;6,8
Bockwinkel et al 2013;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;Lunupharciceras lunulicosta - MB.C.22120.1.whorl2 - wh(5.4 mm) - Bockwinkel 2013;5,4
Bockwinkel et al 2013;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;Lunupharciceras lunulicosta - MB.C.22120.1.whorl3 - wh(3.3 mm) - Bockwinkel 2013;3,3
Bockwinkel et al 2013;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Petteroceras errans;Interval 7;Lunupharciceras lunulicosta - MB.C.22120.1.whorl4 - wh(2.7 mm) - Bockwinkel 2013;2,7
Bockwinkel et al 2013;Pseudoprobeloceras praecox;;MB.C.22135.4.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pseudoprobeloceras praecox - MB.C.22135.4.whorl1 - wh(8.9 mm) - Bockwinkel 2013;8,9
Bockwinkel et al 2013;Pseudoprobeloceras praecox;;MB.C.22135.4.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pseudoprobeloceras praecox - MB.C.22135.4.whorl2 - wh(5.2 mm) - Bockwinkel 2013;5,2
Bockwinkel et al 2013;Pseudoprobeloceras praecox;;MB.C.22135.4.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pseudoprobeloceras praecox - MB.C.22135.4.whorl3 - wh(3.3 mm) - Bockwinkel 2013;3,3
Bockwinkel et al 2013;Pseudoprobeloceras praecox;;MB.C.22135.4.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pseudoprobeloceras praecox - MB.C.22135.4.whorl4 - wh(2.3 mm) - Bockwinkel 2013;2,3
Bockwinkel et al 2013;Pseudoprobeloceras praecox;;MB.C.22135.4.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pseudoprobeloceras praecox - MB.C.22135.4.whorl5 - wh(1.4 mm) - Bockwinkel 2013;1,4
Bockwinkel et al 2013;Pseudoprobeloceras pernai;;MB.C.22134.5.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Wedekind 1918;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pseudoprobeloceras pernai - MB.C.22134.5.whorl1 - wh(9.8 mm) - Bockwinkel 2013;9,8
Bockwinkel et al 2013;Pseudoprobeloceras pernai;;MB.C.22134.5.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Wedekind 1918;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pseudoprobeloceras pernai - MB.C.22134.5.whorl2 - wh(6.9 mm) - Bockwinkel 2013;6,9
Bockwinkel et al 2013;Pseudoprobeloceras pernai;;MB.C.22134.5.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Wedekind 1918;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pseudoprobeloceras pernai - MB.C.22134.5.whorl3 - wh(4.2 mm) - Bockwinkel 2013;4,2
Bockwinkel et al 2013;Pseudoprobeloceras pernai;;MB.C.22134.5.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Wedekind 1918;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pseudoprobeloceras pernai - MB.C.22134.5.whorl4 - wh(2.9 mm) - Bockwinkel 2013;2,9
Bockwinkel et al 2013;Pseudoprobeloceras pernai;;MB.C.22134.5.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Ponticeratinae;Pseudoprobeloceras ;Bensaid 1974;Wedekind 1918;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Pseudoprobeloceras pernai - MB.C.22134.5.whorl5 - wh(1.9 mm) - Bockwinkel 2013;1,9
Bockwinkel et al 2013;Darkaoceras velox;;MB.C.22105.4.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Darkaoceras velox - MB.C.22105.4.whorl1 - wh(8.6 mm) - Bockwinkel 2013;8,6
Bockwinkel et al 2013;Darkaoceras velox;;MB.C.22105.4.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Darkaoceras velox - MB.C.22105.4.whorl2 - wh(5.3 mm) - Bockwinkel 2013;5,3
Bockwinkel et al 2013;Darkaoceras velox;;MB.C.22105.4.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Darkaoceras velox - MB.C.22105.4.whorl3 - wh(3.3 mm) - Bockwinkel 2013;3,3
Bockwinkel et al 2013;Darkaoceras velox;;MB.C.22105.4.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Darkaoceras velox - MB.C.22105.4.whorl4 - wh(2.1 mm) - Bockwinkel 2013;2,1
Bockwinkel et al 2013;Darkaoceras velox;;MB.C.22105.4.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Darkaoceras velox - MB.C.22105.4.whorl5 - wh(1.5 mm) - Bockwinkel 2013;1,5
Bockwinkel et al 2013;Taouzites taouzensis;;MB.C.22106.3.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Taouzites ;Korn 2001;Termier and Termier 1950;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Taouzites taouzensis - MB.C.22106.3.whorl1 - wh(13.9 mm) - Bockwinkel 2013;13,9
Bockwinkel et al 2013;Taouzites taouzensis;;MB.C.22106.3.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Taouzites ;Korn 2001;Termier and Termier 1950;Givetian;late Givetian;Taouzites taouzensis;Interval 7;Taouzites taouzensis - MB.C.22106.3.whorl2 - wh(8.7 mm) - Bockwinkel 2013;8,7
