Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;Aperture.Image;wh
Bockwinkel et al 2013;Extropharciceras arenicum;;MB.C.22114.4.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras arenicum - MB.C.22114.4.whorl1 - wh(7.0 mm) - Bockwinkel 2013;7
Bockwinkel et al 2013;Extropharciceras arenicum;;MB.C.22114.4.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras arenicum - MB.C.22114.4.whorl2 - wh(4.7 mm) - Bockwinkel 2013;4,7
Bockwinkel et al 2013;Extropharciceras arenicum;;MB.C.22114.4.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras arenicum - MB.C.22114.4.whorl3 - wh(3.0 mm) - Bockwinkel 2013;3
Bockwinkel et al 2013;Extropharciceras arenicum;;MB.C.22114.4.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras arenicum - MB.C.22114.4.whorl4 - wh(2.4 mm) - Bockwinkel 2013;2,4
Bockwinkel et al 2013;Extropharciceras arenicum;;MB.C.22114.4.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras arenicum - MB.C.22114.4.whorl5 - wh(1.7 mm) - Bockwinkel 2013;1,7
Bockwinkel et al 2009;Extropharciceras n sp 1;;MB.C.19113.4.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras n. sp. 1 - MB.C.19113.4.whorl1 - wh(13.6 mm) - Bockwinkel 2009;13,6
Bockwinkel et al 2009;Extropharciceras n sp 1;;MB.C.19113.4.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras n. sp. 1 - MB.C.19113.4.whorl2 - wh(10.6 mm) - Bockwinkel 2009;10,6
Bockwinkel et al 2009;Extropharciceras n sp 1;;MB.C.19113.4.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras n. sp. 1 - MB.C.19113.4.whorl3 - wh(7.8 mm) - Bockwinkel 2009;7,8
Bockwinkel et al 2009;Extropharciceras n sp 1;;MB.C.19113.4.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras n. sp. 1 - MB.C.19113.4.whorl4 - wh(5.2 mm) - Bockwinkel 2009;5,2
Bockwinkel et al 2009;Extropharciceras n sp 1;;MB.C.19113.4.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras n. sp. 1 - MB.C.19113.4.whorl5 - wh(3.5 mm) - Bockwinkel 2009;3,5
Bockwinkel et al 2009;Extropharciceras n sp 1;;MB.C.19113.4.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras n. sp. 1 - MB.C.19113.4.whorl6 - wh(2.6 mm) - Bockwinkel 2009;2,6
Bockwinkel et al 2015 ;Extropharciceras gentile;;MB.C.25107.1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras gentile - MB.C.25107.1 - wh(12.0 mm) - Bockwinkel 2015;12
Bockwinkel et al 2015 ;Extropharciceras gentile;;MB.C.25107.7.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras gentile - MB.C.25107.7.whorl1 - wh(7.4 mm) - Bockwinkel 2015;7,4
Bockwinkel et al 2015 ;Extropharciceras gentile;;MB.C.25107.7.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras gentile - MB.C.25107.7.whorl2 - wh(5.5 mm) - Bockwinkel 2015;5,5
Bockwinkel et al 2015 ;Extropharciceras gentile;;MB.C.25107.7.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras gentile - MB.C.25107.7.whorl3 - wh(3.8 mm) - Bockwinkel 2015;3,8
Bockwinkel et al 2015 ;Extropharciceras gentile;;MB.C.25107.7.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras gentile - MB.C.25107.7.whorl4 - wh(2.8 mm) - Bockwinkel 2015;2,8
Bockwinkel et al 2015 ;Extropharciceras gentile;;MB.C.25107.7.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras gentile - MB.C.25107.7.whorl5 - wh(2.3 mm) - Bockwinkel 2015;2,3
Bockwinkel et al 2015 ;Extropharciceras serum;;MB.C.25105.1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras serum - MB.C.25105.1 - wh(16.5 mm) - Bockwinkel 2015;16,5
Bockwinkel et al 2015 ;Extropharciceras serum;;MB.C.25105.4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras serum - MB.C.25105.4 - wh(15.4 mm) - Bockwinkel 2015;15,4
Bockwinkel et al 2013;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Lunupharciceras lunulicosta - MB.C.22120.1.whorl1 - wh(6.8 mm) - Bockwinkel 2013;6,8
Bockwinkel et al 2013;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Lunupharciceras lunulicosta - MB.C.22120.1.whorl2 - wh(5.4 mm) - Bockwinkel 2013;5,4
Bockwinkel et al 2013;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Lunupharciceras lunulicosta - MB.C.22120.1.whorl3 - wh(3.3 mm) - Bockwinkel 2013;3,3
Bockwinkel et al 2013;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Lunupharciceras lunulicosta - MB.C.22120.1.whorl4 - wh(2.7 mm) - Bockwinkel 2013;2,7
Bockwinkel et al 2013;Nebechoceras excentricum;;MB.C.22103.9.whorl1;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Nebechoceras excentricum (M I) - MB.C.22103.9.whorl1 - wh(10.8 mm) - Bockwinkel 2013;10,8
Bockwinkel et al 2013;Nebechoceras excentricum;;MB.C.22103.9.whorl2;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Nebechoceras excentricum (M I) - MB.C.22103.9.whorl2 - wh(7.8 mm) - Bockwinkel 2013;7,8
Bockwinkel et al 2013;Nebechoceras excentricum;;MB.C.22103.9.whorl3;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Nebechoceras excentricum (M I) - MB.C.22103.9.whorl3 - wh(5.0 mm) - Bockwinkel 2013;5
Bockwinkel et al 2013;Nebechoceras excentricum;;MB.C.22103.9.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Nebechoceras excentricum (M I) - MB.C.22103.9.whorl4 - wh(3.7 mm) - Bockwinkel 2013;3,7
Bockwinkel et al 2013;Nebechoceras excentricum;;MB.C.22103.9.whorl5;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Nebechoceras excentricum (M I) - MB.C.22103.9.whorl5 - wh(2.0 mm) - Bockwinkel 2013;2
Bockwinkel et al 2013;Nebechoceras excentricum;;MB.C.22103.7.whorl1;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Nebechoceras excentricum (M II) - MB.C.22103.7.whorl1 - wh(8.0 mm) - Bockwinkel 2013;8
Bockwinkel et al 2013;Nebechoceras excentricum;;MB.C.22103.7.whorl2;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Nebechoceras excentricum (M II) - MB.C.22103.7.whorl2 - wh(5.8 mm) - Bockwinkel 2013;5,8
Bockwinkel et al 2013;Nebechoceras excentricum;;MB.C.22103.7.whorl3;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Nebechoceras excentricum (M II) - MB.C.22103.7.whorl3 - wh(4.0 mm) - Bockwinkel 2013;4
Bockwinkel et al 2013;Nebechoceras excentricum;;MB.C.22103.7.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Nebechoceras excentricum (M II) - MB.C.22103.7.whorl4 - wh(2.8 mm) - Bockwinkel 2013;2,8
Bockwinkel et al 2013;Nebechoceras excentricum;;MB.C.22103.7.whorl5;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Nebechoceras excentricum (M II) - MB.C.22103.7.whorl5 - wh(1.9 mm) - Bockwinkel 2013;1,9
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.9.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M I) - MB.C.19114.9.whorl1 - wh(20.2 mm) - Bockwinkel 2009;20,2
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.9.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M I) - MB.C.19114.9.whorl2 - wh(15.8 mm) - Bockwinkel 2009;15,8
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.9.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M I) - MB.C.19114.9.whorl3 - wh(11.3 mm) - Bockwinkel 2009;11,3
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.9.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M I) - MB.C.19114.9.whorl4 - wh(8.7 mm) - Bockwinkel 2009;8,7
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.9.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M I) - MB.C.19114.9.whorl5 - wh(6.6 mm) - Bockwinkel 2009;6,6
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.9.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M I) - MB.C.19114.9.whorl6 - wh(5.1 mm) - Bockwinkel 2009;5,1
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.9.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M I) - MB.C.19114.9.whorl7 - wh(4.0 mm) - Bockwinkel 2009;4
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.9.whorl8;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M I) - MB.C.19114.9.whorl8 - wh(2.9 mm) - Bockwinkel 2009;2,9
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.7.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M II) - MB.C.19114.5.whorl1 - wh(27.1 mm) - Bockwinkel 2009;27,1
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.7.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M II) - MB.C.19114.5.whorl2 - wh(19.8 mm) - Bockwinkel 2009;19,8
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.7.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M II) - MB.C.19114.5.whorl3 - wh(14.1 mm) - Bockwinkel 2009;14,1
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.7.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M II) - MB.C.19114.5.whorl4 - wh(10.5 mm) - Bockwinkel 2009;10,5
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.7.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M II) - MB.C.19114.5.whorl5 - wh(7.7 mm) - Bockwinkel 2009;7,7
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.7.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M II) - MB.C.19114.5.whorl6 - wh(5.3 mm) - Bockwinkel 2009;5,3
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.7.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M II) - MB.C.19114.5.whorl7 - wh(3.7 mm) - Bockwinkel 2009;3,7
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M III) - MB.C.19114.1.whorl1 - wh(11.5 mm) - Bockwinkel 2009;11,5
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M III) - MB.C.19114.1.whorl2 - wh(9.2 mm) - Bockwinkel 2009;9,2
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M III) - MB.C.19114.1.whorl3 - wh(5.5 mm) - Bockwinkel 2009;5,5
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M III) - MB.C.19114.1.whorl4 - wh(3.1 mm) - Bockwinkel 2009;3,1
Bockwinkel et al 2009;Pharciceras pargai;;MB.C.19114.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Montesinos & Henn 1986;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras pargai (M III) - MB.C.19114.1.whorl5 - wh(1.8 mm) - Bockwinkel 2009;1,8
Aboussalam and Becker 2011;Mzerrebites erraticus;;Fig.8.10;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Mzerrebites erraticus - Fig.8.10 - wh(24.5 mm) - drawn from Ab. and Becker 2011;24,5
Bockwinkel et al 2015 ;Mzerrebites amarensis;;MB.C.25093.1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bockwinkel et al. 2015;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Mzerrebites amarensis - MB.C.25093.1 - wh(8.0 mm) - Bockwinkel 2015;8
Bockwinkel et al 2009;Epitornoceras mithracoides;;MB.C19101.3.whorl1;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Epitornoceras mithracoides - MB.C19101.3.whorl1 - wh(49.0 mm) - Bockwinkel 2009;49
Bockwinkel et al 2009;Epitornoceras mithracoides;;MB.C19101.3.whorl2;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Epitornoceras mithracoides - MB.C19101.3.whorl2 - wh(35.9 mm) - Bockwinkel 2009;35,9
Bockwinkel et al 2009;Epitornoceras mithracoides;;MB.C19101.3.whorl3;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Epitornoceras mithracoides - MB.C19101.3.whorl3 - wh(23.5 mm) - Bockwinkel 2009;23,5
Bockwinkel et al 2009;Epitornoceras mithracoides;;MB.C19101.3.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Epitornoceras mithracoides - MB.C19101.3.whorl4 - wh(16.6 mm) - Bockwinkel 2009;16,6
Bockwinkel et al 2009;Epitornoceras mithracoides;;MB.C19101.3.whorl5;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Epitornoceras mithracoides - MB.C19101.3.whorl5 - wh(11.1 mm) - Bockwinkel 2009;11,1
Bockwinkel et al 2009;Darkaoceras meridionale ;;MB.C.19102.5.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras ;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Darkaoceras meridionale - MB.C.19102.5.whorl1 - wh(35.7 mm) - Bockwinkel 2009;35,7
Bockwinkel et al 2009;Darkaoceras meridionale ;;MB.C.19102.5.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras ;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Darkaoceras meridionale - MB.C.19102.5.whorl2 - wh(22.6 mm) - Bockwinkel 2009;22,55
Bockwinkel et al 2009;Darkaoceras meridionale ;;MB.C.19102.5.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras ;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Darkaoceras meridionale - MB.C.19102.5.whorl3 - wh(13.7 mm) - Bockwinkel 2009;13,7
Bockwinkel et al 2009;Darkaoceras meridionale ;;MB.C.19102.5.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras ;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Darkaoceras meridionale - MB.C.19102.5.whorl4 - wh(7.8 mm) - Bockwinkel 2009;7,8
Bockwinkel et al 2009;Darkaoceras meridionale ;;MB.C.19102.5.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras ;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Darkaoceras meridionale - MB.C.19102.5.whorl5 - wh(4.7 mm) - Bockwinkel 2009;4,7
Bockwinkel et al 2009;Darkaoceras meridionale ;;MB.C.19102.5.whorl6;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras ;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Darkaoceras meridionale - MB.C.19102.5.whorl6 - wh(2.9 mm) - Bockwinkel 2009;2,9
Bockwinkel et al 2009;Darkaoceras meridionale ;;MB.C.19102.5.whorl7;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Darkaoceras ;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Darkaoceras meridionale - MB.C.19102.5.whorl7 - wh(1.8 mm) - Bockwinkel 2009;1,8
Bockwinkel et al 2009;Keuppites singulus;;MB.C.19103.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Keuppites ;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Keuppites singulus - MB.C.19103.whorl1 - wh(14.4 mm) - Bockwinkel 2009;14,4
Bockwinkel et al 2009;Keuppites singulus;;MB.C.19103.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Keuppites ;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Keuppites singulus - MB.C.19103.whorl2 - wh(10.1 mm) - Bockwinkel 2009;10,1
