Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;dm1;dm2;uw;ww;wh;ah;CWI;UWI;WER;WWI;IZR
Bockwinkel et al 2009 Berliner pal Abh;Epitornoceras mithracoides;;MB.C.19101.3.whorl3;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;40,7;27,8;0,8;16,9;23,5;12,9;0,42;0,02;2,14;0,72;0,45
Bockwinkel et al 2009 Berliner pal Abh;Epitornoceras mithracoides;;MB.C.19101.3.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;27,8;18,8;0,5;12;16,6;9;0,43;0,02;2,19;0,72;0,46
Bockwinkel et al 2009 Berliner pal Abh;Epitornoceras mithracoides;;MB.C.19101.3.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;18,8;13;0,5;8,3;11,1;5,8;0,44;0,03;2,09;0,75;0,48
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;36,4;28,3;15,9;17,1;11,7;8,1;0,47;0,44;1,65;1,46;0,31
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;28,6;22,3;13,3;16,3;9;6,3;0,57;0,46;1,64;1,81;0,3
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;22;17,7;11,3;13;6,1;4,3;0,59;0,51;1,54;2,13;0,3
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;17,9;14,6;8,9;11,2;4,9;3,3;0,63;0,5;1,5;2,28;0,34
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;14,3;11,6;7,6;9,4;3,9;2,7;0,66;0,53;1,52;2,41;0,31
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;11,9;9,8;6,3;7,7;2,9;2,2;0,65;0,53;1,49;2,63;0,26
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;9,5;7,7;5,3;6;2,3;1,8;0,63;0,56;1,52;2,61;0,22
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl8;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;5,1;4,1;2,6;3,1;1,3;1;0,61;0,51;1,55;2,38;0,23
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;14,6;12;7,9;8,4;3,8;2,6;0,58;0,54;1,48;2,21;0,32
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;12,2;9,8;6,9;7,2;3,1;2,4;0,59;0,57;1,55;2,34;0,22
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;9,7;8,1;5,8;5,4;2,2;1,6;0,56;0,6;1,43;2,45;0,27
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;8,2;6,8;4,8;4,5;1,8;1,4;0,55;0,58;1,47;2,5;0,2
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;6,8;5,6;4;3,5;1,6;1,2;0,52;0,59;1,47;2,25;0,24
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.9.whorl1;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;18,5;12,8;0,2;8,3;10,8;5,7;0,45;0,01;2,09;0,77;0,47
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.9.whorl2;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;13,2;9,1;0,2;6,4;7,8;4,2;0,48;0,02;2,13;0,82;0,47
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.9.whorl3;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;8,8;6,1;0,3;4,6;5;2,7;0,52;0,03;2,08;0,92;0,46
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.9.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;6,4;4,7;0,3;3,4;3,7;1,7;0,54;0,05;1,88;0,92;0,54
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.9.whorl5;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;4,7;3,3;0,4;2,6;2;1,3;0,56;0,09;1,96;1,33;0,32
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.7.whorl1;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;14;10;0,5;6;8;4;0,43;0,04;1,96;0,75;0,5
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.7.whorl2;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;10,3;7,3;0,5;4,9;5,8;2,9;0,47;0,05;1,96;0,84;0,49
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.7.whorl3;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;7;4,9;0,4;3,6;4;2,1;0,51;0,06;2,04;0,9;0,48
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.7.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;5,1;3,7;0,4;2,8;2,8;1,4;0,54;0,08;1,9;1;0,49
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.7.whorl5;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;3,7;2,7;0,4;2;1,9;1;0,55;0,11;1,88;1,08;0,47
Aboussalam and Becker 2011;Mzerrebites erraticus;;D.2208;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Petter 1959;Givetian;late Givetian;Lunupharciceras n sp;Interval 7;58;38;19,5;13,5;24,5;20;0,23;0,34;2,33;0,55;0,18
Bockwinkel et al 2009 Berliner pal Abh;Epitornoceras mithracoides;;MB.C.19101.3.whorl1;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;86,4;59,8;2,1;31,4;49;26,6;0,36;0,02;2,09;0,64;0,46
Bockwinkel et al 2009 Berliner pal Abh;Epitornoceras mithracoides;;MB.C.19101.3.whorl2;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;60,5;40,7;1,2;22,8;35,9;19,8;0,38;0,02;2,21;0,64;0,45
Bockwinkel et al 2009 Berliner pal Abh;Epitornoceras mithracoides;;MB.C.19101.3.whorl3;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;40,7;27,8;0,8;16,9;23,5;12,9;0,42;0,02;2,14;0,72;0,45
Bockwinkel et al 2009 Berliner pal Abh;Epitornoceras mithracoides;;MB.C.19101.3.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;27,8;18,8;0,5;12;16,6;9;0,43;0,02;2,19;0,72;0,46
Bockwinkel et al 2009 Berliner pal Abh;Epitornoceras mithracoides;;MB.C.19101.3.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;18,8;13;0,5;8,3;11,1;5,8;0,44;0,03;2,09;0,75;0,48
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;36,4;28,3;15,9;17,1;11,7;8,1;0,47;0,44;1,65;1,46;0,31
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;28,6;22,3;13,3;16,3;9;6,3;0,57;0,46;1,64;1,81;0,3
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;22;17,7;11,3;13;6,1;4,3;0,59;0,51;1,54;2,13;0,3
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;17,9;14,6;8,9;11,2;4,9;3,3;0,63;0,5;1,5;2,28;0,34
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;14,3;11,6;7,6;9,4;3,9;2,7;0,66;0,53;1,52;2,41;0,31
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;11,9;9,8;6,3;7,7;2,9;2,2;0,65;0,53;1,49;2,63;0,26
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;9,5;7,7;5,3;6;2,3;1,8;0,63;0,56;1,52;2,61;0,22
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl8;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;5,1;4,1;2,6;3,1;1,3;1;0,61;0,51;1,55;2,38;0,23
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;14,6;12;7,9;8,4;3,8;2,6;0,58;0,54;1,48;2,21;0,32
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;12,2;9,8;6,9;7,2;3,1;2,4;0,59;0,57;1,55;2,34;0,22
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;9,7;8,1;5,8;5,4;2,2;1,6;0,56;0,6;1,43;2,45;0,27
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;8,2;6,8;4,8;4,5;1,8;1,4;0,55;0,58;1,47;2,5;0,2
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;6,8;5,6;4;3,5;1,6;1,2;0,52;0,59;1,47;2,25;0,24
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.9.whorl1;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;18,5;12,8;0,2;8,3;10,8;5,7;0,45;0,01;2,09;0,77;0,47
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.9.whorl2;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;13,2;9,1;0,2;6,4;7,8;4,2;0,48;0,02;2,13;0,82;0,47
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.9.whorl3;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;8,8;6,1;0,3;4,6;5;2,7;0,52;0,03;2,08;0,92;0,46
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.9.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;6,4;4,7;0,3;3,4;3,7;1,7;0,54;0,05;1,88;0,92;0,54
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.9.whorl5;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;4,7;3,3;0,4;2,6;2;1,3;0,56;0,09;1,96;1,33;0,32
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.7.whorl1;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;14;10;0,5;6;8;4;0,43;0,04;1,96;0,75;0,5
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.7.whorl2;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;10,3;7,3;0,5;4,9;5,8;2,9;0,47;0,05;1,96;0,84;0,49
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.7.whorl3;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;7;4,9;0,4;3,6;4;2,1;0,51;0,06;2,04;0,9;0,48
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.7.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;5,1;3,7;0,4;2,8;2,8;1,4;0,54;0,08;1,9;1;0,49
Bockwinkel et al 2013 Fossil Record;Nebechoceras excentricum ;;MB.C.22103.7.whorl5;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Falcitornoceratinae;Nebechoceras;Bockwinkel et al. 2013;Bockwinkel at al. 2013;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;3,7;2,7;0,4;2;1,9;1;0,55;0,11;1,88;1,08;0,47
Aboussalam and Becker 2011;Mzerrebites erraticus;;D.2208;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Petter 1959;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;58;38;19,5;13,5;24,5;20;0,23;0,34;2,33;0,55;0,18
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;19,5;13,1;6,6;7,1;7,8;6,4;0,36;0,34;2,22;0,91;0,18
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;13,1;9;4,3;5,8;5,2;4,2;0,44;0,33;2,14;1,12;0,2
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;9;6,1;2,8;4,9;3,8;2,9;0,55;0,31;2,19;1,31;0,23
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;6,1;4,3;1,9;3,6;2,5;1,8;0,59;0,31;2,03;1,45;0,27
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;4,3;3,1;1,4;2,7;1,7;1,2;0,62;0,33;1,88;1,56;0,32
Korn and Klug 2002;Mzerrebites juvenocostatus;;Fig.96B.whorl6;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Mzerrebites;Becker and House 1994;Bensaid 1974;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;3,1;2,4;1,3;1,8;1,2;0,8;0,58;0,4;1,74;1,57;0,35
Korn and Klug 2002;Tornoceras typum;;Fig.143C.whorl1;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Tornoceras;Hyatt 1884;Sandberger and Sandberger 1851;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;26,3;18;0;10,5;16;8,3;0,4;0;2,13;0,66;0,48
Korn and Klug 2002;Tornoceras typum;;Fig.143C.whorl2;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Tornoceras;Hyatt 1884;Sandberger and Sandberger 1851;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;18;12,5;0,7;7,6;10,3;5,5;0,42;0,04;2,07;0,74;0,46
Korn and Klug 2002;Tornoceras typum;;Fig.143C.whorl3;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Tornoceras;Hyatt 1884;Sandberger and Sandberger 1851;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;12,5;8,5;0,8;5,6;7,1;4;0,45;0,06;2,16;0,79;0,44
Korn and Klug 2002;Tornoceras typum;;Fig.143C.whorl4;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Tornoceras;Hyatt 1884;Sandberger and Sandberger 1851;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;8,5;6,2;0,8;4,2;4,6;2,3;0,49;0,09;1,88;0,92;0,49
Korn and Klug 2002;Tornoceras typum;;Fig.143C.whorl5;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Tornoceras;Hyatt 1884;Sandberger and Sandberger 1851;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;6,2;4,5;0,8;3,6;3,3;1,7;0,58;0,13;1,9;1,09;0,48
Korn and Klug 2002;Tornoceras typum;;Fig.143C.whorl6;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Tornoceras;Hyatt 1884;Sandberger and Sandberger 1851;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;4,5;3,5;0,8;2,8;2,1;1;0,61;0,18;1,65;1,34;0,51
Korn and Klug 2002;Tornoceras typum;;Fig.143C.whorl7;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Tornoceras;Hyatt 1884;Sandberger and Sandberger 1851;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;3,5;2,8;0,8;2,5;1,7;0,7;0,71;0,23;1,56;1,52;0,58
Becker et al 2013 IFS;Pharciceratinae n gen n sp;;specimen.Pl.1.10;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceratinae n gen;Becker et al. 2013;Becker et al. 2013;Givetian;late Givetian;Mzerrebites erraticus;Interval 7;17,8;13,1;5,9;9,3;7,6;4,7;0,52;0,33;1,85;1,22;0,38
Bockwinkel et al 2009 Berliner pal Abh;Epitornoceras mithracoides;;MB.C.19101.3.whorl1;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;86,4;59,8;2,1;31,4;49;26,6;0,36;0,02;2,09;0,64;0,46
Bockwinkel et al 2009 Berliner pal Abh;Epitornoceras mithracoides;;MB.C.19101.3.whorl2;Goniatitida;Tornoceratina;Tornocerataceae;Tornoceratidae;Tornoceratinae;Epitornoceras;Frech 1942;Frech 1888;Givetian;middle Givetian;Pharciceras aff amplexum;Interval 7;60,5;40,7;1,2;22,8;35,9;19,8;0,38;0,02;2,21;0,64;0,45
