"","SOV","SOV_upCI","SOV_loCI","SOR","SOR_upCI","SOR_loCI","Centroid_dist","upCI_cdist","loCI_cdist","Pairwise_dist","upCI_mID","loCI_mID","CH_Area_intervals","upCI_CHA_intervals","loCI_CHA_intervals","Position","upCI","loCI"
"Interval 1",1.0943854390591,1.76460462423676,0.260383717378206,6.00209049191797,6.00209049191797,2.44754114042969,0.820477282303256,1.16721958689767,0.445052028141119,1.24799319110478,1.58164478590142,0.607443293235874,0.453168235262611,0.453168235262611,0.0639431319666238,4.19956700098152,4.4125849861898,3.97607271130665
"Interval 2",4.24470416276681,5.06788583497962,2.68093273869019,13.2630202875327,13.2630202875327,10.253762173265,1.8973047910116,2.1433072707908,1.2846129299301,2.57846681304169,2.82645298577592,1.79595443634053,5.40399337960787,5.40399337960787,2.29920099118748,3.73854994289893,4.1990937680362,3.31937708842671
"Interval 3",5.25117993836844,6.47728571674018,4.04739150733188,23.2791125006356,23.2791125006356,21.4145069811583,1.91677430743089,2.10589325954226,1.71635393964696,2.71928637908882,2.96840271321028,2.44402048282254,26.4879338486567,26.4879338486567,23.6128449657818,0.464631015424034,0.613344519375389,0.386560702050823
"Interval 4",5.06415192814572,5.5511463032454,4.54109872828046,20.4538831955254,20.4538831955254,18.7940770514826,2.07555637970677,2.19486170013699,1.96154881841892,2.81124757116593,2.94583883221385,2.66515219326014,27.5851376620712,27.5798989233395,22.3496894745837,0.481688206086198,0.585418045396922,0.422471407672951
"Interval 5",4.53512751795508,4.92253522314173,4.1171155837787,18.0743949977801,18.0743949977801,17.0889711412891,1.95245594174241,2.04698389312583,1.8440709621337,2.67497523896001,2.7876608120475,2.54028786954905,20.7302721862368,20.7302721862368,19.4107704356756,0.740296962417577,0.902266579077928,0.587799100397778
"Interval 6",4.23717208886471,4.66374903692799,3.71778127406665,16.5911446353934,16.5911446353934,13.7264622921453,1.97135144947524,2.07031293789311,1.83364188887247,2.65124233977575,2.77427002310009,2.47435074649579,17.2414264599836,17.2414264599836,15.1135380965971,1.04390120018661,1.28497703753786,0.828180772925818
"Interval 7",3.65305171387017,3.89536421407206,3.41446163252097,17.7421097782983,17.7421097782983,15.4571402933977,1.77107448708797,1.82750736333195,1.70477589363712,2.44822720028897,2.5146049139799,2.36623901074729,20.9774795516982,20.9155067128479,18.9976398720843,0.327217558630287,0.44115427940861,0.250617178532288
